40.75, -73.99, 13, 66.27569
40.75, -73.99, 14, 65.83417
40.75, -73.99, 21, 65.23761
40.75, -73.99, 12, 64.56516
40.75, -73.99, 8, 64.05532
40.75, -73.99, 15, 63.701168
40.75, -73.99, 22, 63.693733
40.75, -73.99, 7, 63.53074
40.75, -73.99, 29, 63.227573
40.75, -73.99, 20, 62.964043
40.75, -73.98, 13, 61.68682
40.75, -73.99, 6, 61.546127
40.75, -73.98, 14, 61.037193
40.74, -73.99, 29, 60.81448
40.75, -73.98, 21, 60.508835
40.74, -73.99, 14, 60.46567
40.75, -73.99, 16, 60.460064
40.74, -73.99, 8, 60.436596
40.74, -73.99, 15, 60.351444
40.75, -73.99, 28, 60.297592
40.74, -73.99, 21, 60.120125
40.74, -73.99, 22, 59.901844
40.75, -73.99, 11, 59.848904
40.74, -73.99, 13, 59.80079
40.75, -73.99, 9, 59.614845
40.75, -73.98, 12, 59.541954
40.75, -73.98, 7, 58.984123
40.75, -73.98, 8, 58.759323
40.75, -73.99, 10, 58.753582
40.75, -73.98, 20, 58.532433
40.74, -73.99, 7, 58.36253
40.74, -73.99, 16, 58.331364
40.75, -73.99, 23, 58.308937
40.75, -73.98, 15, 58.15181
40.75, -73.98, 22, 58.126774
40.76, -73.98, 13, 58.005898
40.74, -73.99, 12, 57.77536
40.75, -73.98, 29, 57.697254
40.74, -73.99, 20, 57.525913
40.75, -73.98, 6, 57.127686
40.74, -73.99, 9, 57.110603
40.76, -73.98, 14, 57.002247
40.73, -74.0, 16, 56.859985
40.76, -73.98, 21, 56.65709
40.75, -73.99, 5, 56.615623
40.74, -74.0, 29, 56.48523
40.75, -73.99, 19, 56.46593
40.74, -73.99, 28, 56.186493
40.74, -73.99, 6, 56.0827
40.75, -73.98, 28, 56.061447
